timestamp_s,east_m,north_m,speed_mps,bearing_deg,accuracy_m
352.103,-2799.4034571718885,-13.647769571118646,7.68,177.5,3.7900925
353.104,-2799.1399540605285,-22.203785633514737,8.08,178.6,3.7900925
384.042,-2819.989500907243,-269.4198843975036,8.67,240.6,3.9363258
385.115,-2830.741739813017,-274.7721255149618,8.73,241.7,3.7900925
386.107,-2840.622559721672,-278.9132105723463,8.35,249.4,3.7900925
387.109,-2847.322754964307,-281.9667042047564,7.89,243.7,3.7900925
388.107,-2854.907489689433,-285.8450752640622,8.44,244.2,3.7900925
389.113,-2861.979432056093,-289.1033967595912,7.96,246.7,3.7900925
390.107,-2869.506217966189,-292.5342634658593,8.26,246.6,3.7900925
391.114,-2877.728389673335,-295.64564323358326,9.14,249.9,3.7900925
392.109,-2886.4021247984006,-298.3607256139608,9.1,252.5,3.7900925
393.103,-2894.0994770350258,-300.64166198019205,8.28,255.6,3.7900925
394.123,-2902.1401486755144,-302.522961374708,8.02,256.9,3.7900925
395.108,-2910.665184952918,-304.041359229106,8.64,261.3,3.7900925
396.118,-2919.816724472212,-305.88814958136794,9.29,259.9,3.7900925
397.117,-2929.1552309289227,-307.11822995457595,9.81,263.4,3.7900925
398.113,-2938.897192353944,-307.47222593537407,9.87,270.6,3.7900925
399.132,-2949.31267209854,-306.82991247356307,10.19,274.3,3.7900925
400.115,-2959.404513170112,-306.0985434189069,10.12,274.9,3.7900925
401.122,-2968.6446159754046,-304.80723732566213,9.52,277.1,3.7900925
402.128,-2977.3391252060187,-303.69515561277916,8.86,277.0,3.7900925
403.116,-2985.4311854202424,-302.5185085951366,8.2,275.7,3.7900925
404.097,-2993.74410716002,-302.03315561512204,8.06,275.2,3.7900925
405.109,-3002.1084174735333,-302.46507523939414,8.54,267.9,3.7900925
406.108,-3010.6739085845434,-302.3036619778492,8.62,264.0,3.7900925
407.118,-3019.6056799516,-303.8732667979383,8.99,260.4,3.7900925
408.11,-3028.8086080446296,-305.76124536189997,9.53,256.5,3.7900925
409.117,-3037.355511799508,-308.66223129190803,9.03,254.5,3.7900925
410.112,-3046.900665923084,-310.18062914630593,9.28,256.9,3.7900925
411.111,-3055.7865155843833,-312.47603704645417,8.84,256.7,3.7900925
412.131,-3063.952925224525,-314.38182672887865,8.52,258.7,3.7900925
415.196,-3091.6065378318795,-319.4802594072239,9.62,261.4,3.7900925
416.098,-3100.9242701844323,-321.09995799833274,9.41,263.7,3.7900925
417.1,-3110.685912338903,-321.83355344250907,9.55,267.3,3.7900925
418.1,-3119.9271085189043,-322.03726811077934,9.07,268.7,3.7900925
419.097,-3132.733796975713,-321.5096137243935,10.9,270.1,3.7900925
420.101,-3143.6314546105887,-321.13001426066126,10.42,270.5,3.7900925
421.101,-3153.1383406471928,-321.1355802352583,9.65,270.0,3.7900925
422.1,-3161.2085333825507,-321.1211087015184,8.42,269.3,3.7900925
423.104,-3169.554256339932,-320.71256617030616,8.34,267.5,3.7900925
424.097,-3178.990073071962,-320.76822591574586,8.42,269.1,3.7900925
425.096,-3189.1956250297403,-320.5778695863669,9.6,268.7,3.7900925
426.095,-3200.193873062669,-320.82499885603414,10.21,268.2,3.7900925
427.101,-3211.223828937101,-320.78381064433444,10.69,269.9,3.7900925
428.113,-3223.076001982943,-320.71256617030616,11.26,270.4,3.7900925
429.12,-3234.9828437238634,-319.9878762850957,11.66,274.2,3.7900925
430.112,-3246.5605799209998,-318.667627124548,11.6,278.1,3.7900925
431.113,-3257.4811984066673,-317.36184949738623,11.22,278.7,3.7900925
432.113,-3267.892304656603,-315.4471542558189,10.87,280.7,3.7900925
433.123,-3278.3974410619053,-313.5024027515689,10.54,283.3,3.7900925
434.125,-3288.283727839929,-311.6678575433497,10.13,279.9,3.7900925
435.118,-3298.22030981837,-310.21402499353434,9.78,276.2,3.7900925
436.119,-3307.9633646167085,-309.24665861858216,9.7,273.2,3.7900925
437.125,-3317.9742960196763,-308.57317569941694,9.95,271.1,3.7900925
438.096,-3328.4302305978786,-309.06075506912873,10.09,265.6,3.7900925
439.113,-3338.368999324345,-310.42553202609895,9.91,260.3,3.7900925
440.099,-3347.8944727170815,-312.6073940456706,9.74,253.2,3.7900925
441.121,-3357.32154245979,-316.276484462109,9.93,245.0,3.7900925
442.11,-3366.2336330960075,-320.94856349077924,10.16,240.8,3.7900925
443.106,-3374.709467546311,-326.6236311315044,9.83,240.3,3.7900925
444.12,-3381.9650967290436,-331.0563732548017,8.63,237.9,3.7900925
445.101,-3387.6298668907175,-334.65755878193465,6.85,246.3,3.7900925
446.1,-3392.5598897936616,-337.69546768575617,6.02,236.4,3.7900925
447.109,-3397.3412138461617,-340.8001682840345,5.89,238.0,3.7900925
448.125,-3401.7267365477446,-343.99392447480386,6.08,238.3,3.7900925
449.122,-3409.7739684309195,-347.79771147518153,7.39,237.2,3.7900925
450.108,-3416.0860159400327,-352.79373022214435,8.02,234.7,3.7900925
451.121,-3423.2246541152163,-358.52779719267795,8.7,232.9,3.7900925
452.124,-3430.544792357056,-363.84886885278195,8.73,235.4,3.7900925
453.108,-3437.413367179585,-369.9202338804995,9.12,231.4,3.7900925
454.115,-3445.385156263524,-375.32479515849747,9.77,232.2,3.7900925
455.109,-3452.456005256867,-381.42510325422603,9.76,230.3,3.7900925
456.122,-3460.7208185456448,-387.2638105461933,9.59,233.8,3.7900925
457.125,-3468.447691877138,-393.62794583484924,10.05,231.4,3.7900925
458.116,-3477.741370004191,-399.5434635754418,10.45,237.5,3.7900925
459.125,-3486.533189512906,-405.4378306130258,10.58,237.6,3.7900925
460.103,-3495.7623585794613,-410.9603905513489,10.67,237.2,3.7900925
461.097,-3504.3693978973947,-416.8647763431014,10.06,237.8,3.7900925
462.097,-3513.8205218656044,-422.71350238941426,10.81,239.5,3.7900925
463.123,-3523.223537381422,-427.91657538883914,10.41,244.8,3.7900925
464.106,-3533.9615624257244,-432.36044946150764,10.93,251.4,3.7900925
465.116,-3543.897051030848,-436.058482945603,11.1,251.7,3.7900925
466.12,-3555.257205823773,-439.0284869599421,11.25,253.4,3.7900925
467.108,-3566.1811044293922,-442.25563899811686,11.22,252.8,3.7900925
468.111,-3576.853527041271,-445.34698125732683,10.45,253.4,3.7900925
469.214,-3586.1001900906404,-448.0219886212073,9.6,253.5,3.7900925
